instance_id,image_id,axis,source,chart_type,predicted_chart_type,score
1f7473bf7a1a_x,1f7473bf7a1a,x,extracted,vertical_bar,vertical_bar,1.0
1f7473bf7a1a_y,1f7473bf7a1a,y,extracted,vertical_bar,vertical_bar,0.00029977099721301137
1f7d3d05c3fb_x,1f7d3d05c3fb,x,extracted,line,line,1.0
1f7d3d05c3fb_y,1f7d3d05c3fb,y,extracted,line,line,0.9528886088003223
1f8f3528a4b7_x,1f8f3528a4b7,x,extracted,line,line,0.0
1f8f3528a4b7_y,1f8f3528a4b7,y,extracted,line,line,0.0
1fed181b226d_x,1fed181b226d,x,extracted,line,line,1.0
1fed181b226d_y,1fed181b226d,y,extracted,line,line,0.0
2002af1b29b9_x,2002af1b29b9,x,extracted,vertical_bar,vertical_bar,0.0
2002af1b29b9_y,2002af1b29b9,y,extracted,vertical_bar,vertical_bar,0.24629121976253843
20313f8f9a29_x,20313f8f9a29,x,extracted,line,line,1.0
20313f8f9a29_y,20313f8f9a29,y,extracted,line,line,0.9182378088305776
205110c76740_x,205110c76740,x,extracted,vertical_bar,vertical_bar,1.0
205110c76740_y,205110c76740,y,extracted,vertical_bar,vertical_bar,0.0
2062854b932f_x,2062854b932f,x,extracted,line,line,0.0
2062854b932f_y,2062854b932f,y,extracted,line,line,0.9154847187838555
20802c1167ab_x,20802c1167ab,x,extracted,vertical_bar,vertical_bar,1.0
20802c1167ab_y,20802c1167ab,y,extracted,vertical_bar,vertical_bar,0.9802965363115375
20a9d3e0d984_x,20a9d3e0d984,x,extracted,scatter,scatter,0.0
20a9d3e0d984_y,20a9d3e0d984,y,extracted,scatter,scatter,0.0
21124255238c_x,21124255238c,x,extracted,vertical_bar,vertical_bar,0.9943182429595474
21124255238c_y,21124255238c,y,extracted,vertical_bar,vertical_bar,0.9750502375451351
215f46970ebe_x,215f46970ebe,x,extracted,scatter,scatter,0.0
215f46970ebe_y,215f46970ebe,y,extracted,scatter,scatter,0.0
220436d228aa_x,220436d228aa,x,extracted,scatter,scatter,0.9952844892571071
220436d228aa_y,220436d228aa,y,extracted,scatter,scatter,0.9509711309508464
22179f3f0fc2_x,22179f3f0fc2,x,extracted,vertical_bar,vertical_bar,1.0
22179f3f0fc2_y,22179f3f0fc2,y,extracted,vertical_bar,vertical_bar,0.0
229297ef10b8_x,229297ef10b8,x,extracted,line,line,1.0
229297ef10b8_y,229297ef10b8,y,extracted,line,line,0.9682606326432788
229d3abb4935_x,229d3abb4935,x,extracted,line,line,0.0
229d3abb4935_y,229d3abb4935,y,extracted,line,line,0.0
22a3eae32699_x,22a3eae32699,x,extracted,vertical_bar,vertical_bar,1.0
22a3eae32699_y,22a3eae32699,y,extracted,vertical_bar,vertical_bar,1.0
22a9db1cad0c_x,22a9db1cad0c,x,extracted,line,line,0.0
22a9db1cad0c_y,22a9db1cad0c,y,extracted,line,line,0.0
22decba7318f_x,22decba7318f,x,extracted,scatter,scatter,0.0
22decba7318f_y,22decba7318f,y,extracted,scatter,scatter,0.0
23bed256778c_x,23bed256778c,x,extracted,line,line,1.0
23bed256778c_y,23bed256778c,y,extracted,line,line,0.970957542504608
241b5d921b2f_x,241b5d921b2f,x,extracted,scatter,scatter,0.0
241b5d921b2f_y,241b5d921b2f,y,extracted,scatter,scatter,0.0
2422e5123077_x,2422e5123077,x,extracted,line,line,1.0
2422e5123077_y,2422e5123077,y,extracted,line,line,0.0
24af28c007ac_x,24af28c007ac,x,extracted,scatter,scatter,0.0
24af28c007ac_y,24af28c007ac,y,extracted,scatter,scatter,0.0
24b51c564db7_x,24b51c564db7,x,extracted,vertical_bar,vertical_bar,1.0
24b51c564db7_y,24b51c564db7,y,extracted,vertical_bar,vertical_bar,0.8374509194988766
24d4145ba39f_x,24d4145ba39f,x,extracted,line,line,1.0
24d4145ba39f_y,24d4145ba39f,y,extracted,line,line,0.0002101829085943141
250fe846f5b3_x,250fe846f5b3,x,extracted,scatter,scatter,0.8813783009637586
250fe846f5b3_y,250fe846f5b3,y,extracted,scatter,scatter,0.0
251d4fb40fea_x,251d4fb40fea,x,extracted,vertical_bar,vertical_bar,0.0
251d4fb40fea_y,251d4fb40fea,y,extracted,vertical_bar,vertical_bar,0.6023507900796978
25377339cdc1_x,25377339cdc1,x,extracted,vertical_bar,vertical_bar,0.9843762714415911
25377339cdc1_y,25377339cdc1,y,extracted,vertical_bar,vertical_bar,0.9677083169849832
25a80c9ced74_x,25a80c9ced74,x,extracted,vertical_bar,vertical_bar,0.9375812532524874
25a80c9ced74_y,25a80c9ced74,y,extracted,vertical_bar,vertical_bar,0.07208243015842486
25ab54e4e6fe_x,25ab54e4e6fe,x,extracted,line,line,1.0
25ab54e4e6fe_y,25ab54e4e6fe,y,extracted,line,line,0.7844523351965558
25e15de44046_x,25e15de44046,x,extracted,line,line,1.0
25e15de44046_y,25e15de44046,y,extracted,line,line,0.0
264b8a1565f6_x,264b8a1565f6,x,extracted,vertical_bar,vertical_bar,1.0
264b8a1565f6_y,264b8a1565f6,y,extracted,vertical_bar,vertical_bar,0.988159453090824
265f8a58c438_x,265f8a58c438,x,extracted,vertical_bar,vertical_bar,1.0
265f8a58c438_y,265f8a58c438,y,extracted,vertical_bar,vertical_bar,0.972278022809852
2698ec7e0c88_x,2698ec7e0c88,x,extracted,vertical_bar,vertical_bar,1.0
2698ec7e0c88_y,2698ec7e0c88,y,extracted,vertical_bar,vertical_bar,0.0
27139b4912ea_x,27139b4912ea,x,extracted,line,line,1.0
27139b4912ea_y,27139b4912ea,y,extracted,line,line,0.0
271ec06d6cb3_x,271ec06d6cb3,x,extracted,vertical_bar,vertical_bar,1.0
271ec06d6cb3_y,271ec06d6cb3,y,extracted,vertical_bar,vertical_bar,0.9028500063284699
27b50e5df8a9_x,27b50e5df8a9,x,extracted,line,line,1.0
27b50e5df8a9_y,27b50e5df8a9,y,extracted,line,line,0.4793698734949292
27fa015ce8a0_x,27fa015ce8a0,x,extracted,vertical_bar,vertical_bar,1.0
27fa015ce8a0_y,27fa015ce8a0,y,extracted,vertical_bar,vertical_bar,0.9793245989374475
28a3dd8304e0_x,28a3dd8304e0,x,extracted,vertical_bar,vertical_bar,0.0
28a3dd8304e0_y,28a3dd8304e0,y,extracted,vertical_bar,vertical_bar,0.9754187984956906
28ef77f3759e_x,28ef77f3759e,x,extracted,line,line,1.0
28ef77f3759e_y,28ef77f3759e,y,extracted,line,line,0.9619556738264132
294106c4a166_x,294106c4a166,x,extracted,vertical_bar,vertical_bar,0.9971590985518357
294106c4a166_y,294106c4a166,y,extracted,vertical_bar,vertical_bar,1.0
29fe6110ed1e_x,29fe6110ed1e,x,extracted,vertical_bar,vertical_bar,0.620051037744775
29fe6110ed1e_y,29fe6110ed1e,y,extracted,vertical_bar,vertical_bar,0.9165353187971914
2a1e4a0ffe81_x,2a1e4a0ffe81,x,extracted,vertical_bar,vertical_bar,0.5378828427399902
2a1e4a0ffe81_y,2a1e4a0ffe81,y,extracted,vertical_bar,vertical_bar,1.0
2a37dba958da_x,2a37dba958da,x,extracted,vertical_bar,vertical_bar,1.0
2a37dba958da_y,2a37dba958da,y,extracted,vertical_bar,vertical_bar,0.8884449371732697
2a463d824950_x,2a463d824950,x,extracted,vertical_bar,vertical_bar,0.5525707053797915
2a463d824950_y,2a463d824950,y,extracted,vertical_bar,vertical_bar,5.768718835952313e-13
2aae9bc45099_x,2aae9bc45099,x,extracted,line,line,1.0
2aae9bc45099_y,2aae9bc45099,y,extracted,line,line,0.9618860109156033
2ae1860cf31a_x,2ae1860cf31a,x,extracted,line,line,1.0
2ae1860cf31a_y,2ae1860cf31a,y,extracted,line,line,0.9902064689125567
